measure_size,encoder_freeze,scratch,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,False,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,6.95,128,"[0.7264, 0.698]","[None, None]",2000
64,False,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.26,64,[0.6767],[None],2001
64,False,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.23,64,[0.7302],[None],2002
64,False,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,5,18.3,320,"[0.7044, 0.704, 0.7523, 0.7754, 0.7606]","[None, None, None, None, None]",2003
64,False,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,10.31,192,"[0.6987, 0.7471, 0.7721]","[None, None, None]",2004
64,False,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,5,18.75,320,"[0.694, 0.758, 0.7363, 0.7743, 0.7641]","[None, None, None, None, None]",2000
64,False,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.26,64,[0.6689],[None],2001
64,False,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.34,64,[0.7344],[None],2002
64,False,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,6.98,128,"[0.7034, 0.7517]","[None, None]",2003
64,False,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,3,10.28,192,"[0.6703, 0.7721, 0.7859]","[None, None, None]",2004
64,False,False,0.0001,"(0.4, 0.3, 0.3)",64,4,0,4,14.29,256,"[0.6359, 0.5822, 0.421, 0.4051]","[None, None, None, None]",2000
64,False,False,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.24,64,[0.5764],[None],2001
64,False,False,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.23,64,[0.688],[None],2002
64,False,False,0.0001,"(0.4, 0.3, 0.3)",64,4,0,3,10.71,192,"[0.6329, 0.6145, 0.5831]","[None, None, None]",2003
64,False,False,0.0001,"(0.4, 0.3, 0.3)",64,4,0,5,18.69,320,"[0.4972, 0.6072, 0.5379, 0.5056, 0.4471]","[None, None, None, None, None]",2004
64,True,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,5.56,128,"[0.7189, 0.7174]","[None, None]",2000
64,True,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,2.66,64,[0.6561],[None],2001
64,True,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,4,11.95,256,"[0.7288, 0.7506, 0.7417, 0.7349]","[None, None, None, None]",2002
64,True,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,6,19.5,384,"[0.6978, 0.731, 0.7384, 0.7425, 0.7529, 0.7328]","[None, None, None, None, None, None]",2003
64,True,False,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,9.03,192,"[0.6929, 0.7544, 0.7494]","[None, None, None]",2004
64,True,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,3,8.95,192,"[0.6195, 0.7354, 0.7506]","[None, None, None]",2000
64,True,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,2.8,64,[0.6139],[None],2001
64,True,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,5.65,128,"[0.6897, 0.7081]","[None, None]",2002
64,True,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,5.76,128,"[0.6545, 0.7382]","[None, None]",2003
64,True,False,0.001,"(0.4, 0.3, 0.3)",64,4,0,4,12.14,256,"[0.6353, 0.7365, 0.7697, 0.7513]","[None, None, None, None]",2004
64,True,False,0.0001,"(0.4, 0.3, 0.3)",64,4,0,3,9.0,192,"[0.5942, 0.6209, 0.6324]","[None, None, None]",2000
64,True,False,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.69,64,[0.5282],[None],2001
64,True,False,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,2.76,64,[0.6107],[None],2002
64,True,False,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,5.69,128,"[0.6107, 0.6492]","[None, None]",2003
64,True,False,0.0001,"(0.4, 0.3, 0.3)",64,4,0,4,12.43,256,"[0.5718, 0.63, 0.5945, 0.5771]","[None, None, None, None]",2004
