phase,measure_size,T_mc,w_cost,w_unc,w_grad,break_signal,reg_r2,rank_r2,sampling_seed,time_elapsed
1,16,10,0.0,0.0,0.0,False,0.6091555411693754,0.8296148074037019,42,
2,16,10,0.0,0.0,1.0,False,0.5400733954829826,0.8075087543771886,42,10.168774843215942
3,16,10,0.0,0.0,1.0,False,0.5434068610925349,0.8104722361180591,42,15.243226528167725
4,16,10,0.0,0.0,1.0,False,0.26639422503744414,0.8321095547773887,42,20.38588571548462
5,16,10,0.0,0.0,1.0,False,0.5636475184446188,0.8617258629314657,42,25.531305074691772
6,16,10,0.0,0.0,1.0,False,0.5195934306905143,0.863831915957979,42,30.739166736602783
7,16,10,0.0,0.0,1.0,False,0.6085268508020489,0.87483991995998,42,35.9850549697876
8,16,10,0.0,0.0,1.0,False,0.7209139334462826,0.875432216108054,42,41.24580359458923
9,16,10,0.0,0.0,1.0,False,0.3699322631290314,0.8838144072036018,42,46.48789024353027
10,16,10,0.0,0.0,1.0,False,0.22842351190087207,0.8862266133066533,42,51.74695420265198
11,16,10,0.0,0.0,1.0,False,0.16518321876377962,0.88304052026013,42,57.029114961624146
12,16,10,0.0,0.0,1.0,False,-0.050429601600498586,0.8741545772886443,42,62.33919978141785
13,16,10,0.0,0.0,1.0,False,0.11369224322504423,0.8820145072536268,42,67.64588046073914
14,16,10,0.0,0.0,1.0,False,0.21930547033397074,0.8836653326663332,42,73.0677924156189
15,16,10,0.0,0.0,1.0,False,0.26202600609805926,0.8893596798399199,42,78.51088976860046
16,16,10,0.0,0.0,1.0,False,0.02061317036871546,0.8830815407703851,42,83.89853835105896
17,16,10,0.0,0.0,1.0,False,0.06259432728747849,0.8794537268634317,42,89.40413188934326
18,16,10,0.0,0.0,1.0,False,0.07144113270262287,0.8892596298149075,42,94.99809002876282
19,16,10,0.0,0.0,1.0,False,-0.02651234247790546,0.8921835917958979,42,100.52871322631836
20,16,10,0.0,0.0,1.0,False,-0.1121940650454345,0.8933146573286643,42,106.18983054161072
21,16,10,0.0,0.0,1.0,True,0.020605838703899204,0.8883691845922962,42,111.85954999923706
