beta,alpha_recon,alpha_feature,latent_dim,hidden_dim,lr,mean_val_loss,std_val_loss,mean_recon_r2,std_recon_r2,mean_feature_r2,std_feature_r2
0.001,0.1,0.1,32,256,0.0001,0.0176,0.0003,0.9414,0.0011,0.3908,0.0016
0.001,0.1,0.1,32,256,0.001,0.0101,0.0001,0.9705,0.0005,0.4298,0.0006
0.001,0.1,0.1,64,256,0.0001,0.0151,0.0003,0.9567,0.0031,0.3968,0.0013
0.001,0.1,0.1,64,256,0.001,0.0093,0.0005,0.9752,0.0029,0.4301,0.0033
0.001,0.1,1.0,32,256,0.0001,0.0914,0.0028,0.8647,0.0056,0.4034,0.0022
0.001,0.1,1.0,32,256,0.001,0.0497,0.0016,0.9413,0.0027,0.435,0.0018
0.001,0.1,1.0,64,256,0.0001,0.0926,0.0023,0.8733,0.0019,0.401,0.0023
0.001,0.1,1.0,64,256,0.001,0.0501,0.0015,0.9463,0.0036,0.434,0.0011
0.001,1.0,0.1,32,256,0.0001,0.0705,0.0025,0.9484,0.0019,0.357,0.0052
0.001,1.0,0.1,32,256,0.001,0.0384,0.0022,0.9727,0.0014,0.4022,0.0042
0.001,1.0,0.1,64,256,0.0001,0.0508,0.0014,0.9661,0.0012,0.3635,0.0035
0.001,1.0,0.1,64,256,0.001,0.0298,0.0025,0.98,0.0027,0.4088,0.0009
0.001,1.0,1.0,32,256,0.0001,0.1643,0.006,0.9353,0.0024,0.3856,0.0036
0.001,1.0,1.0,32,256,0.001,0.0931,0.0029,0.9652,0.0009,0.4222,0.0034
0.001,1.0,1.0,64,256,0.0001,0.1385,0.0023,0.9525,0.0036,0.3923,0.0019
0.001,1.0,1.0,64,256,0.001,0.0792,0.008,0.9741,0.0064,0.4247,0.0033
0.01,0.1,0.1,32,256,0.0001,0.029,0.0004,0.9305,0.0027,0.3852,0.0015
0.01,0.1,0.1,32,256,0.001,0.0186,0.0002,0.9606,0.0015,0.4291,0.0005
0.01,0.1,0.1,64,256,0.0001,0.0249,0.0004,0.9405,0.0033,0.3911,0.001
0.01,0.1,0.1,64,256,0.001,0.0144,0.0003,0.9671,0.0017,0.4335,0.0019
0.01,0.1,1.0,32,256,0.0001,0.1081,0.003,0.8659,0.0084,0.4026,0.0022
0.01,0.1,1.0,32,256,0.001,0.0604,0.0016,0.9372,0.0039,0.4389,0.0024
0.01,0.1,1.0,64,256,0.0001,0.1028,0.0007,0.8728,0.0066,0.4046,0.0009
0.01,0.1,1.0,64,256,0.001,0.0591,0.0017,0.9386,0.0043,0.4367,0.0009
0.01,1.0,0.1,32,256,0.0001,0.0863,0.0031,0.9524,0.0026,0.3599,0.005
0.01,1.0,0.1,32,256,0.001,0.0525,0.002,0.9766,0.0016,0.4132,0.001
0.01,1.0,0.1,64,256,0.0001,0.0651,0.0019,0.9689,0.0017,0.3712,0.0013
0.01,1.0,0.1,64,256,0.001,0.0438,0.0025,0.9813,0.0023,0.4157,0.0042
0.01,1.0,1.0,32,256,0.0001,0.175,0.0028,0.942,0.0012,0.3908,0.0016
0.01,1.0,1.0,32,256,0.001,0.1038,0.0029,0.9701,0.0014,0.4277,0.0013
0.01,1.0,1.0,64,256,0.0001,0.1496,0.0023,0.9571,0.0024,0.3973,0.0012
0.01,1.0,1.0,64,256,0.001,0.0925,0.0058,0.9749,0.0048,0.4302,0.0022
0.1,0.1,0.1,32,256,0.0001,0.0725,0.001,0.725,0.0096,0.3115,0.0038
0.1,0.1,0.1,32,256,0.001,0.0563,0.0012,0.8272,0.0123,0.366,0.008
0.1,0.1,0.1,64,256,0.0001,0.0571,0.0004,0.8204,0.0029,0.3387,0.0005
0.1,0.1,0.1,64,256,0.001,0.0414,0.0002,0.8693,0.0051,0.391,0.003
0.1,0.1,1.0,32,256,0.0001,0.1808,0.0011,0.7376,0.0031,0.3848,0.0022
0.1,0.1,1.0,32,256,0.001,0.1155,0.0012,0.8376,0.0058,0.4275,0.0013
0.1,0.1,1.0,64,256,0.0001,0.1618,0.0016,0.7655,0.0063,0.3893,0.0017
0.1,0.1,1.0,64,256,0.001,0.0909,0.0008,0.8748,0.0026,0.4329,0.001
0.1,1.0,0.1,32,256,0.0001,0.1884,0.0026,0.9323,0.0023,0.3469,0.0058
0.1,1.0,0.1,32,256,0.001,0.1297,0.0033,0.9575,0.0041,0.3978,0.0034
0.1,1.0,0.1,64,256,0.0001,0.1515,0.0039,0.9463,0.004,0.3561,0.0027
0.1,1.0,0.1,64,256,0.001,0.0924,0.003,0.9687,0.0038,0.4119,0.0041
0.1,1.0,1.0,32,256,0.0001,0.2894,0.0041,0.9307,0.0029,0.3852,0.0017
0.1,1.0,1.0,32,256,0.001,0.1873,0.0021,0.9596,0.0019,0.429,0.0009
0.1,1.0,1.0,64,256,0.0001,0.2489,0.0038,0.941,0.0034,0.3911,0.0011
0.1,1.0,1.0,64,256,0.001,0.146,0.0044,0.9661,0.0031,0.4319,0.0017
